bench_complex_set_with_smaller	fee: 50521	calldata: 534762
bench_complex_get_minimal	fee: 60841	calldata: 724400391
bench_complex_update_minimal	fee: 94109	calldata: 473751217
bench_complex_set_with_smaller	fee: 50521	calldata: 042116
bench_complex_update_minimal_nested	fee: 94317	calldata: 6
bench_complex_check	fee: 60923	calldata: 664167, 0, 17
bench_complex_get	fee: 60824	calldata: 605726
bench_complex_set_with_smaller	fee: 50521	calldata: 362447
bench_complex_get_minimal	fee: 60841	calldata: 636381871
bench_complex_update_minimal	fee: 94109	calldata: 238874552
bench_complex_set_with_smaller	fee: 50521	calldata: 767645
bench_complex_update_minimal_nested	fee: 94317	calldata: 8
bench_complex_check	fee: 60924	calldata: 061407, 1, 0
bench_complex_get	fee: 60824	calldata: 050724
bench_complex_set_with_smaller	fee: 50521	calldata: 250717
bench_complex_get_minimal	fee: 60841	calldata: 193226744
bench_complex_update_minimal	fee: 94109	calldata: 197473770
bench_complex_set_with_smaller	fee: 50521	calldata: 203543
bench_complex_check	fee: 60927	calldata: 371610, 4, 18
bench_complex_update_minimal_nested	fee: 94317	calldata: 5
bench_complex_get	fee: 60824	calldata: 210204
bench_complex_set_with_smaller	fee: 50521	calldata: 173717
bench_complex_get_minimal	fee: 60841	calldata: 960351432
bench_complex_update_minimal	fee: 94109	calldata: 905244005
bench_complex_set_with_smaller	fee: 50521	calldata: 215027
bench_complex_check	fee: 60924	calldata: 464227, 1, 18
bench_complex_update_minimal_nested	fee: 94317	calldata: 4
bench_complex_get	fee: 60824	calldata: 757663
bench_complex_set_with_smaller	fee: 50521	calldata: 050315
bench_complex_get_minimal	fee: 60841	calldata: 256897002
bench_complex_update_minimal	fee: 94109	calldata: 838090944
bench_complex_set_with_smaller	fee: 50521	calldata: 112253
bench_complex_check	fee: 60925	calldata: 624171, 2, 13
bench_complex_update_minimal_nested	fee: 94317	calldata: 8
bench_complex_get	fee: 60824	calldata: 056453
bench_complex_set_with_smaller	fee: 50521	calldata: 071420
bench_complex_get_minimal	fee: 60841	calldata: 501239069
bench_complex_update_minimal	fee: 94109	calldata: 144846496
bench_complex_set_with_smaller	fee: 50521	calldata: 035337
bench_complex_check	fee: 60926	calldata: 067076, 3, 4
bench_complex_update_minimal_nested	fee: 94317	calldata: 8
bench_complex_get	fee: 60824	calldata: 213356
bench_complex_set_with_smaller	fee: 50521	calldata: 026605
bench_complex_get_minimal	fee: 60841	calldata: 831172986
bench_complex_update_minimal	fee: 94109	calldata: 364802646
bench_complex_set_with_smaller	fee: 50521	calldata: 754302
bench_complex_check	fee: 60927	calldata: 507136, 5, 11
bench_complex_update_minimal_nested	fee: 94317	calldata: 0
bench_complex_set_with_smaller	fee: 50521	calldata: 621621
bench_complex_get	fee: 60824	calldata: 310072
bench_complex_get_minimal	fee: 60841	calldata: 886895858
bench_complex_update_minimal	fee: 94109	calldata: 739930602
bench_complex_set_with_smaller	fee: 50521	calldata: 366446
bench_complex_check	fee: 60927	calldata: 764764, 5, 14
bench_complex_update_minimal_nested	fee: 94317	calldata: 8
bench_complex_set_with_smaller	fee: 50521	calldata: 264756
bench_complex_get	fee: 60824	calldata: 550351
bench_complex_get_minimal	fee: 60841	calldata: 536875502
bench_complex_update_minimal	fee: 94109	calldata: 139902801
bench_complex_set_with_smaller	fee: 50521	calldata: 177014
bench_complex_check	fee: 60926	calldata: 727042, 3, 15
bench_complex_update_minimal_nested	fee: 94317	calldata: 0
bench_complex_set_with_smaller	fee: 50521	calldata: 656671
bench_complex_get	fee: 60824	calldata: 751056
bench_complex_get_minimal	fee: 60841	calldata: 837468737
bench_complex_update_minimal	fee: 94109	calldata: 602286393
bench_complex_set_with_smaller	fee: 50521	calldata: 124723
bench_complex_check	fee: 60923	calldata: 776435, 0, 17
bench_complex_update_minimal_nested	fee: 94317	calldata: 2
bench_complex_set_with_smaller	fee: 50521	calldata: 752141
bench_complex_get	fee: 60824	calldata: 252103
bench_complex_get_minimal	fee: 60841	calldata: 336133539
bench_complex_update_minimal	fee: 94109	calldata: 461747661
bench_complex_set_with_smaller	fee: 50521	calldata: 221467
bench_complex_check	fee: 60925	calldata: 736174, 2, 9
bench_complex_update_minimal_nested	fee: 94317	calldata: 0
bench_complex_set_with_smaller	fee: 50521	calldata: 376634
bench_complex_get	fee: 60824	calldata: 010435
bench_complex_get_minimal	fee: 60841	calldata: 806290755
bench_complex_update_minimal	fee: 94109	calldata: 443821740
